Summary,Issue Type,Priority,Description,
"middleware issue",Bug,Medium,"Middleware is not responding",
"Web server is down",Bug,Medium,"Web server is not responding",
"Database failed",Bug,Medium,"Database is not responding",
"Application is unresponsive",Bug,Medium,"Application is not responding",
"Application is slow",Bug,Medium,"Application is not responding",
"Application is crashing",Bug,Medium,"Application is not responding",
"Application is not working",Bug,Medium,"Application is not responding",
"Application is not responding",Bug,Medium,"Application is not responding",
"Application is not loading",Bug,Medium,"Application is not responding",
"Database tiomeout",Bug,Medium,"Database is not responding",
"Database is not responding",Bug,Medium,"Database is not responding",
"Database is not working",Bug,Medium,"Database is not responding",
"Database is not loading",Bug,Medium,"Database is not responding",
"Web server issue",Bug,Medium,"Web server is not responding",
"Web server is not responding",Bug,Medium,"Web server is not responding",
"Web server is not working",Bug,Medium,"Web server is not responding",
